;total;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;eg_proc;ee_proc;mg_proc;me_proc;lg_proc;le_proc
Glechoma;670;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Glechoma;0;515;0;0;0;155;NA;76.86567164;NA;0;NA;23.13432836
Prunella;26042;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Prunella;0;2359;762;8897;13169;855;0;19.47816035;5.469815519;73.46214185;94.53018448;7.059697795
Fraxinus;25597;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;0;0;0;175;0;25422;NA;0;NA;0.683673868;NA;99.31632613
Melampyrum;89338;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Melampyrum;0;0;84735;3454;0;1149;0;0;100;75.03801868;0;24.96198132
Odontites;10149;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Odontites;0;0;10060;89;0;0;0;0;100;100;0;0
Rhinanthus;10422;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Orobanchaceae;Rhinanthus;0;0;10422;0;0;0;0;NA;100;NA;0;NA
Linaria;1450;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Linaria;0;0;0;0;0;1450;NA;0;NA;0;NA;100
Plantago;10678128;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;742577;334776;4845787;541802;4012736;200450;7.734290863;31.08331445;50.47116476;50.30528454;41.79454438;18.611401
Veronica;222157;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Veronica;1745;30215;31606;6090;138453;14048;1.015692301;60.00635513;18.3965449;12.09461204;80.5877628;27.89903283
Magnoliopsida unidentified;7836;Viridiplantae;Streptophyta;Magnoliopsida;unidentified;unidentified;unidentified;191;0;6452;869;0;324;200;0;900;300;0;200
Hypericum;72323;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum;2151;25545;41698;1517;0;1412;4.905471048;89.71342277;95.09452895;5.327667346;0;4.958909883
Populus;75097;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Populus;72690;102;324;0;0;1981;99.55624949;4.896783485;0.443750514;0;0;95.10321651
Salicaceae unidentified;510;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;unidentified;0;0;510;0;0;0;0;0;500;0;0;0
Salix;1427120;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;1955;160496;878123;77551;106335;202660;0.198192846;36.41784678;89.02183974;17.59695217;10.77996742;45.98520105
Viola;1931;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Violaceae;Viola;0;1101;0;0;0;830;NA;57.01708959;NA;0;NA;42.98291041
Tilia;1081599;Viridiplantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Tilia;0;5052;34930;29491;1002421;9705;0;11.4174652;3.367230571;66.64934008;96.63276943;21.93319472
