class;order;family;genus;januar.galloway;januar.exmoor;februar.galloway;februar.exmoor;marts.galloway;marts.exmoor;april.galloway;april.exmoor;maj.galloway;maj.exmoor;juni.galloway;juni.exmoor;juli.galloway;juli.exmoor;august.galloway;august.exmoor;september.galloway;september.exmoor;oktober.galloway;oktober.exmoor;november.galloway;november.exmoor;december.galloway;december.exmoor;total.reads
;;Plantaginaceae;Linaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1450;0;0;1450
;;;Plantago;114462;8066;48293;25295;108195;216205;224007;332830;70468;35431;194341;1345991;1135624;751722;593647;1260365;1287063;1323687;622886;615011;114571;52044;115633;82291;10678128
;;;Veronica;2877;1538;0;98;10092;1687;5818;9850;2307;0;4218;6900;8421;357;7395;8098;8738;8352;16298;83748;2578;12306;8992;11489;222157
;Malpighiales;Hypericaceae;Hypericum;0;0;0;0;0;0;26720;976;4704;426;0;36394;600;1091;0;0;0;0;603;0;0;731;78;0;72323
;;Salicaceae;Populus;0;0;39931;0;32759;102;0;0;324;0;0;0;0;0;0;0;919;0;0;624;438;0;0;0;75097
;;;Salicaceae unidentified;0;0;0;0;0;0;0;0;269;0;0;0;241;0;0;0;0;0;0;0;0;0;0;0;510
;;;Salix;51332;8569;62376;33169;0;639;5483;883;468912;111813;11657;0;133733;76575;134580;18404;0;555;105579;72591;122394;7876;0;0;1427120
;;Violaceae;Viola;0;0;0;0;0;0;0;1101;0;0;0;0;0;0;0;0;830;0;0;0;0;0;0;0;1931
;Malvales;Malvaceae;Tilia;0;325;0;0;1737;666;2324;0;17706;10897;0;0;13393;19683;0;2742;3738;0;23120;1807;2391;435960;13610;531500;1081599
;Myrtales;Lythraceae;Lythrum;1240;283;2832;0;0;0;0;0;2250;1289;7786;0;7130;55621;263607;23164;2230;4228;10437;11695;0;0;0;0;393792
;;Onagraceae;Chamaenerion;0;0;0;0;0;2247;23316;19587;1829;41108;0;20020;45377;22735;0;135201;7410;758;33696;0;0;0;0;0;353284
;;;Circaea;0;0;0;0;0;0;0;0;5942;0;1094;0;0;107340;2593;0;0;0;0;0;0;0;0;0;116969
;;;Epilobium;34654;169;1552;979;4889;19773;1639195;329352;44049;36640;19892;29479;25110;81169;47682;168343;5970;1261;33069;5562;3105;35665;0;0;2567559
;Poales;Cyperaceae;Carex;9147;9553;25499;1442;140643;55574;45208;21858;56080;55682;253407;107224;27779;63931;319646;45263;20680;9731;37293;4371;156773;38659;13968;155399;1674810
;;;Cyperaceae unidentified;0;0;0;0;0;324;677;0;0;384;4431;4898;0;0;1722;2219;0;128;0;0;0;0;0;0;14783
;;;Eleocharis;0;0;0;0;0;0;0;0;0;4020;1763;9385;0;610;7488;0;25446;327;0;5174;0;0;0;0;54213
;;;Eriophorum;0;0;413;0;0;481;446;191;573;739;12226;1169;0;0;0;6833;0;0;0;0;0;0;0;0;23071
;;Juncaceae;Juncus;6463;123;4692;295;14441;11827;68;1454;0;1292;318;0;0;6531;28033;0;0;257;355;0;0;0;0;0;76149
;;;Luzula;0;0;139;0;0;1044;2927;2423;0;2601;0;0;0;0;0;0;0;0;113;0;0;356;0;109;9712
;;Poaceae;Agrostis;5893;1155;28193;1619;36138;64233;12813;11919;5915;33031;146672;119115;23861;57107;116394;801261;917343;529208;42463;113566;24333;18808;28591;31958;3171589
;;;Alopecurus;114;114;1477;0;0;0;0;0;538;555;6648;3156;0;361;1050;2733;0;1177;800;2636;0;0;0;0;21359
;;;Anthoxanthum;161;79;0;0;1667;696;0;0;1096;361;0;0;438;0;0;0;0;0;0;9417;0;20141;246;0;34302
;;;Arrhenatherum;0;0;4893;342;561;478;1348;161;1048;48;0;772;0;0;0;0;124;0;0;0;0;0;322;448;10545
;;;Avenella;7908;4062;7234;3745;714;2110;6383;6288;1502;8921;750;0;16481;2251;15677;15119;11268;438;11867;6387;1852;2306;4638;9809;147710
;;;Avenula;0;0;0;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;506;0;0;0;0;0;640
;;;Bromus;0;0;0;0;0;0;80;0;1642;6170;3025;27743;0;8395;0;0;0;0;766;0;0;0;0;243;48064
;;;Cynosurus;0;0;1441;0;0;0;0;0;2788;5153;9438;6879;1805;1428;12763;0;78;0;7049;0;2039;0;0;0;50861
;;;Dactylis;0;220;1073;0;1972;832;812;126;535;657;811;3176;2036;3023;29226;2615;222;795;660;12953;0;0;2562;2059;66365
;;;Deschampsia;91;104;589;0;0;0;983;0;368;1554;14217;2647;582;473;2232;0;775;0;1396;277;22900;6128;0;0;55316
;;;Festuca;10965;354;3408;90;5155;1987;5426;1001;2667;1636;5158;4878;3520;3977;25104;49899;10411;45649;26991;13510;35209;28757;9672;35930;331354
;;;Glyceria;2069;679;43149;0;0;11001;250;1989;701;160062;35457;38605;0;1240;29150;2236;183;4785;1442;10401;267223;0;0;0;610622
;;;Helictochloa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;668;0;0;0;0;0;0;0;0;668
;;;Holcus;1215;365;9595;3449;3783;4226;6462;14955;806;4149;10958;7914;2184;7398;9272;9523;5443;148;7676;542;11935;10916;4372;677;137963
;;;Lolium;0;184;0;0;0;0;0;833;0;4544;15568;484;0;5225;1870;6858;62;449;1216;1956;2095;0;0;3632;44976
;;;Melica;0;92;0;0;2159;754;4185;4354;0;0;0;0;175;645;0;0;0;0;197;0;0;103;0;0;12664
;;;Milium;0;0;0;0;760;0;0;2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3731
;;;Molinia;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;192
;;;Nardus;70;0;529;0;0;0;65;2536;0;0;0;0;0;0;0;0;0;0;260;0;0;0;0;0;3460
;;;Phalaris;0;0;0;0;0;0;308;0;0;0;0;0;0;1315;2324;48383;9647;0;0;0;0;0;0;0;61977
